ano,departamento,municipio,numero_de_muestras,promedio_irca
2015,Arauca,Cravo Norte,16,16.35
2015,Santander,Ocamonte,5,6.82
2015,Risaralda,Santuario,47,13.46
2015,Antioquia,La Unión,19,3.73
2015,Santander,Güepsa,6,14.06
2015,Antioquia,Tarazá,13,1.49
2015,Cesar,La Gloria,7,58.24
2015,Cundinamarca,Chipaque,24,5.7
2015,Antioquia,Montebello,25,0.31
2015,Bolívar,Clemencia,9,50.98
2015,Putumayo,Colón,17,34.02
2015,Santander,Santa Helena Del Opón,8,65.76
2015,Santander,Floridablanca,20,1.88
2015,Antioquia,El Carmen De Viboral,49,1.13
2015,Bolívar,Santa Catalina,10,85.35
2015,Valle del Cauca,Cali,895,3.72
2015,Magdalena,Pedraza,12,32.7
2015,Boyacá,Cubará,9,0
2015,Arauca,Saravena,16,0
2015,Cundinamarca,Junín,12,7.04
2015,Meta,Castilla La Nueva,22,30.28
2015,Caldas,Samaná,128,56.8
2015,Antioquia,Rionegro,52,1.41
2015,Cauca,Florencia,26,5.33
2015,Cauca,Puerto Tejada,35,26.47
2015,Sucre,Galeras,31,40.57
2015,Risaralda,Pueblo Rico,56,30.51
2015,Santander,La Paz,9,25.05
2015,Córdoba,San Antero,30,6.06
2015,Arauca,Fortul,16,0
2015,Valle del Cauca,El Águila,32,38.1
2015,Huila,Suaza,51,46.61
2015,Bolívar,Zambrano,12,52.14
2015,Santander,Los Santos,10,4.54
2015,Nariño,Colón,97,56.15
2015,Valle del Cauca,Versalles,32,47.3
2015,Caquetá,Curillo,19,16.21
2015,Boyacá,Guacamayas,23,5.8
2015,Nariño,Santacruz,101,56.25
2015,Cundinamarca,Cajicá,56,0.7
2015,Norte de Santander,Cachirá,10,28.61
2015,Arauca,Tame,16,3.63
2015,Atlántico,Candelaria,17,1.14
2015,Cundinamarca,Sibaté,77,24.39
2015,Quindio,Circasia,29,3.91
2015,Risaralda,Quinchía,51,16.42
2015,Meta,El Castillo,26,84.04
2015,Antioquia,San Rafael,34,18.81
2015,Sucre,Coloso,25,0
2015,Santander,Tona,12,16.25
2015,Norte de Santander,Los Patios,77,8.39
2015,Norte de Santander,La Esperanza,9,33.87
2015,La Guajira,Urumita,9,14.78
2015,Antioquia,San Carlos,26,0.1
2015,Archipiélago de San Andrés Providencia y Santa Catalina,Providencia,3,51.31
2015,Valle del Cauca,Yotoco,31,29.6
2015,Antioquia,Sabanalarga,21,1.84
2015,Cesar,Bosconia,46,46.02
2015,Bolívar,Santa Rosa,10,15
2015,Nariño,El Charco,8,38.74
2015,Casanare,Villanueva,42,30.78
2015,Huila,Tesalia,63,33.61
2015,Cauca,Caloto,60,43.23
2015,Huila,Palestina,59,45.56
2015,La Guajira,El Molino,13,3.02
2015,Santander,Guadalupe,12,10.35
2015,Santander,Onzaga,8,12.59
2015,Vaupés,Mitú,19,18.65
2015,Santander,Lebrija,30,7.56
2015,Caquetá,Albania,24,0.5
2015,Tolima,Armero,12,0.76
2015,Boyacá,San Luis De Gaceno,26,24.8
2015,Cundinamarca,Subachoque,8,7.22
2015,Valle del Cauca,Toro,23,31.64
2015,Meta,Granada,26,40.48
2015,Santander,Albania,7,32
2015,Boyacá,Pauna,26,39.02
2015,Boyacá,Briceño,21,41.96
2015,Boyacá,Cerinza,30,15.71
2015,Bolívar,Cicuco,12,48.67
2015,Caldas,La Dorada,82,14.78
2015,Meta,Puerto Concordia,11,7.3
2015,Cundinamarca,San Bernardo,13,0.08
2015,Norte de Santander,Labateca,7,36.3
2015,Casanare,Nunchía,19,11.21
2015,Norte de Santander,Ragonvalia,16,11
2015,Nariño,Guaitarilla,109,42.1
2015,Santander,Jesús María,7,18.59
2015,Córdoba,San José de Uré,3,18.48
2015,Sucre,Morroa,21,46.13
2015,Antioquia,Frontino,52,1.78
2015,Cundinamarca,Tocaima,31,1.06
2015,Cesar,Gamarra,17,25
2015,Cundinamarca,Cabrera,13,9.68
2015,Antioquia,Caramanta,25,0.14
2015,Caldas,Palestina,60,24.67
2015,Valle del Cauca,Caicedonia,76,12.6
2015,Casanare,Sabanalarga,25,46.52
2015,Antioquia,Jardín,26,2.47
2015,Córdoba,Montería,128,0.04
2015,Nariño,Samaniego,240,68.03
2015,Antioquia,Jericó,25,1.06
2015,Magdalena,Plato,29,21.29
2015,Nariño,Guachucal,143,44.51
2015,La Guajira,San Juan Del Cesar,14,13.79
2015,Norte de Santander,Gramalote,1,19.29
2015,Meta,Villavicencio,189,24.69
2015,Quindio,Quimbaya,25,10.01
2015,Magdalena,El Piñon,38,14.42
2015,Cundinamarca,Beltrán,23,27.8
2015,Cundinamarca,La Mesa,49,18.78
2015,Boyacá,Cucaita,27,38.06
2015,Boyacá,Berbeo,23,53.12
2015,Risaralda,Mistrató,49,17.84
2015,Valle del Cauca,Buenaventura,132,7.72
2015,Casanare,Chameza,16,30.46
2015,Santander,Guavatá,11,9.52
2015,Antioquia,Alejandría,28,0
2015,Huila,Agrado,56,51.69
2015,Putumayo,Puerto Asís,12,43.89
2015,Boyacá,Tinjacá,12,31.48
2015,Boyacá,Soracá,29,18.9
2015,Casanare,Yopal,395,11.72
2015,Antioquia,Olaya,47,3.08
2015,Bolívar,El Guamo,14,18.75
2015,Nariño,Chachagüí,108,49.65
2015,Boyacá,San José De Pare,23,49.05
2015,Antioquia,Santa Rosa De Osos,30,1.43
2015,Boyacá,Turmequé,72,52.72
2015,Antioquia,Cañasgordas,27,2.87
2015,Sucre,Chalán,36,10.3
2015,Antioquia,Entrerrios,29,7.7
2015,La Guajira,Riohacha,84,4.22
2015,Risaralda,Dosquebradas,229,14.62
2015,Boyacá,Soatá,33,41.33
2015,Boyacá,Boavita,26,40.38
2015,Meta,Cubarral,22,76.26
2015,Risaralda,La Virginia,48,14.16
2015,Norte de Santander,El Tarra,17,31.93
2015,Boyacá,Paz De Río,23,24.56
2015,Boyacá,Ráquira,29,61.52
2015,Tolima,Fresno,16,12.04
2015,Risaralda,La Celia,41,11.98
2015,Boyacá,Oicatá,22,7.7
2015,Cundinamarca,La Calera,39,2.38
2015,Antioquia,Salgar,51,2.78
2015,Cundinamarca,Silvania,26,11.46
2015,Cesar,Chiriguaná,12,43.1
2015,Santander,San Andrés,8,12.66
2015,Bolívar,Simití,10,32.35
2015,Atlántico,Polonuevo,13,0
2015,Antioquia,Belmira,29,0.27
2015,Cauca,Piendamó,34,18.51
2015,Bolívar,Mahates,19,20.72
2015,Meta,Puerto López,44,48.91
2015,Antioquia,Valdivia,27,2.75
2015,Norte de Santander,Cúcuta,93,1.6
2015,Boyacá,San Pablo De Borbur,21,30.47
2015,Magdalena,Sitionuevo,49,94.61
2015,Antioquia,Turbo,69,4.62
2015,Cundinamarca,Cachipay,45,10.58
2015,Boyacá,Miraflores,49,11.43
2015,Vichada,La Primavera,25,14.49
2015,Boyacá,Ramiriquí,40,18.81
2015,Antioquia,Caracolí,28,3.74
2015,Antioquia,Anorí,25,1.86
2015,Nariño,Sandoná,132,6.44
2015,Caquetá,Puerto Rico,12,7.5
